Date,State,TotalSamples,Negative,Positive
18/06/2020,Puducherry,11679,11230,285
2/04/2020,Punjab,1434,1236,37
8/04/2020,Punjab,2937,2614,106
9/04/2020,Punjab,3192,2777,130
10/04/2020,Punjab,3461,2972,151
11/04/2020,Punjab,3909,3249,158
12/04/2020,Punjab,4281,3590,170
13/04/2020,Punjab,4480,3858,176
14/04/2020,Punjab,4844,4047,184
15/04/2020,Punjab,5193,4404,186
16/04/2020,Punjab,5524,4727,197
17/04/2020,Punjab,5988,5113,211
18/04/2020,Punjab,6167,5354,234
19/04/2020,Punjab,6607,5949,244
20/04/2020,Punjab,6797,6273,245
21/04/2020,Punjab,7355,6769,251
22/04/2020,Punjab,7887,7100,257
23/04/2020,Punjab,8757,7433,283
24/04/2020,Punjab,10611,8310,298
25/04/2020,Punjab,13270,9392,308
26/04/2020,Punjab,14317,10497,322
27/04/2020,Punjab,15516,12333,330
28/04/2020,Punjab,17021,13966,342
29/04/2020,Punjab,18670,15690,375
30/04/2020,Punjab,21205,17286,480
1/05/2020,Punjab,23176,18222,585
2/05/2020,Punjab,24868,19316,772
3/05/2020,Punjab,26439,20197,1102
4/05/2020,Punjab,28545,21295,1232
5/05/2020,Punjab,30199,23352,1451
6/05/2020,Punjab,32060,24303,1526
7/05/2020,Punjab,34701,28933,1644
8/05/2020,Punjab,37950,31219,1731
9/05/2020,Punjab,39462,33639,1762
10/05/2020,Punjab,40962,35293,1823
11/05/2020,Punjab,42306,37993,1877
12/05/2020,Punjab,43999,39060,1914
13/05/2020,Punjab,46026,40637,1924
14/05/2020,Punjab,47408,42425,1935
15/05/2020,Punjab,49301,44319,1932
16/05/2020,Punjab,50613,46028,1946
17/05/2020,Punjab,51812,47484,1964
18/05/2020,Punjab,52955,48813,1980
19/05/2020,Punjab,55634,50070,2002
20/05/2020,Punjab,57737,51956,2005
21/05/2020,Punjab,59618,53871,2028
22/05/2020,Punjab,62399,55777,2029
23/05/2020,Punjab,63567,57899,2045
24/05/2020,Punjab,66142,60114,2060
25/05/2020,Punjab,67213,62686,2081
26/05/2020,Punjab,69818,64160,2106
27/05/2020,Punjab,72468,66417,2139
28/05/2020,Punjab,72468,67325,2158
29/05/2020,Punjab,81021,,2197
30/05/2020,Punjab,84497,,2233
31/05/2020,Punjab,87852,,2263
1/06/2020,Punjab,91113,,2301
2/06/2020,Punjab,96329,,2342
3/06/2020,Punjab,101036,,2376
4/06/2020,Punjab,106933,,2415
5/06/2020,Punjab,113542,,2461
6/06/2020,Punjab,115974,,2515
7/06/2020,Punjab,124266,,2608
8/06/2020,Punjab,129821,,2663
9/06/2020,Punjab,136343,,2719
10/06/2020,Punjab,144467,,2805
11/06/2020,Punjab,154498,,2887
12/06/2020,Punjab,165548,,2986
13/06/2020,Punjab,176533,,3063
14/06/2020,Punjab,182225,,3140
15/06/2020,Punjab,188699,,3267
16/06/2020,Punjab,198211,,3371
17/06/2020,Punjab,208408,,3497
18/06/2020,Punjab,219528,,3615
5/04/2020,Rajasthan,12279,11439,260
7/04/2020,Rajasthan,17638,16401,363
8/04/2020,Rajasthan,17638,16401,363
9/04/2020,Rajasthan,19107,17851,463
10/04/2020,Rajasthan,22349,20698,561
11/04/2020,Rajasthan,24857,22583,678
12/04/2020,Rajasthan,28505,25105,796
13/04/2020,Rajasthan,31804,28657,847
14/04/2020,Rajasthan,34928,29376,1005
15/04/2020,Rajasthan,37860,31902,1076
16/04/2020,Rajasthan,40778,33739,1101
17/04/2020,Rajasthan,42847,36153,1229
18/04/2020,Rajasthan,47197,39092,1282
19/04/2020,Rajasthan,51614,43537,1478
20/04/2020,Rajasthan,57290,47657,1576
21/04/2020,Rajasthan,61492,54100,1735
22/04/2020,Rajasthan,66257,58552,1888
23/04/2020,Rajasthan,69764,63485,1964
24/04/2020,Rajasthan,74484,68133,2034
25/04/2020,Rajasthan,78993,71806,2083
26/04/2020,Rajasthan,82942,75670,2185
27/04/2020,Rajasthan,87777,80830,2262
28/04/2020,Rajasthan,92506,85834,2364
29/04/2020,Rajasthan,97790,90108,2438
30/04/2020,Rajasthan,103704,,2584
1/05/2020,Rajasthan,108543,100277,2666
2/05/2020,Rajasthan,113934,104705,2720
3/05/2020,Rajasthan,120240,112345,2886
4/05/2020,Rajasthan,129258,122513,3061
5/05/2020,Rajasthan,134987,128297,3158
6/05/2020,Rajasthan,139580,134172,3317
7/05/2020,Rajasthan,145510,139830,3427
8/05/2020,Rajasthan,152245,146198,3579
9/05/2020,Rajasthan,159157,152296,3708
10/05/2020,Rajasthan,166424,158830,3814
11/05/2020,Rajasthan,176130,168546,3988
12/05/2020,Rajasthan,185610,,4126
13/05/2020,Rajasthan,194683,186125,4328
14/05/2020,Rajasthan,204243,197269,4534
15/05/2020,Rajasthan,212317,203770,4747
16/05/2020,Rajasthan,221439,213395,4960
17/05/2020,Rajasthan,231946,221764,5202
18/05/2020,Rajasthan,243476,234165,5375
19/05/2020,Rajasthan,254533,244955,5845
20/05/2020,Rajasthan,265555,254128,6015
21/05/2020,Rajasthan,275974,266687,6227
22/05/2020,Rajasthan,287164,277744,6494
23/05/2020,Rajasthan,303935,292384,6657
24/05/2020,Rajasthan,317067,306209,7028
25/05/2020,Rajasthan,327836,318146,7300
26/05/2020,Rajasthan,337159,326368,7536
27/05/2020,Rajasthan,350600,338611,7816
28/05/2020,Rajasthan,365556,351861,8067
29/05/2020,Rajasthan,379315,365925,8365
30/05/2020,Rajasthan,395490,382315,8617
31/05/2020,Rajasthan,409777,396789,8831
1/06/2020,Rajasthan,425184,411965,9100
2/06/2020,Rajasthan,440789,428471,9373
3/06/2020,Rajasthan,454788,440850,9652
4/06/2020,Rajasthan,467129,451826,9862
5/06/2020,Rajasthan,480910,465349,10084
6/06/2020,Rajasthan,494480,478366,10337
7/06/2020,Rajasthan,506784,491233,10599
8/06/2020,Rajasthan,518350,503208,10876
9/06/2020,Rajasthan,530031,515872,11245
10/06/2020,Rajasthan,543312,527864,11600
11/06/2020,Rajasthan,558064,542256,11838
12/06/2020,Rajasthan,571543,556040,12068
13/06/2020,Rajasthan,584954,569314,12401
14/06/2020,Rajasthan,598920,583279,12694
15/06/2020,Rajasthan,609296,594991,12981
16/06/2020,Rajasthan,622334,606279,13216
17/06/2020,Rajasthan,637937,620217,13542
18/06/2020,Rajasthan,654816,636216,13857
4/05/2020,Sikkim,170,169,0
5/05/2020,Sikkim,181,171,0
6/05/2020,Sikkim,189,189,0
7/05/2020,Sikkim,216,207,0
8/05/2020,Sikkim,216,214,0
9/05/2020,Sikkim,219,219,0
10/05/2020,Sikkim,219,219,0
11/05/2020,Sikkim,219,219,0
12/05/2020,Sikkim,348,229,0
13/05/2020,Sikkim,439,268,0
14/05/2020,Sikkim,579,292,0
15/05/2020,Sikkim,348,229,0
16/05/2020,Sikkim,840,424,0
17/05/2020,Sikkim,947,449,0
18/05/2020,Sikkim,1087,536,0
19/05/2020,Sikkim,1204,827,0
20/05/2020,Sikkim,1342,955,0
22/05/2020,Sikkim,1637,1347,0
23/05/2020,Sikkim,1707,1398,0
24/05/2020,Sikkim,1855,1471,1
25/05/2020,Sikkim,2103,1508,1
26/05/2020,Sikkim,2255,1508,1
27/05/2020,Sikkim,2417,1665,1
28/05/2020,Sikkim,2626,1801,1
29/05/2020,Sikkim,2759,1880,1
30/05/2020,Sikkim,2829,2015,1
31/05/2020,Sikkim,2925,2173,1
1/06/2020,Sikkim,3525,2601,1
2/06/2020,Sikkim,3788,2857,1
3/06/2020,Sikkim,4102,3062,2
4/06/2020,Sikkim,4358,3894,2
5/06/2020,Sikkim,4761,4143,3
6/06/2020,Sikkim,5005,4273,3
8/06/2020,Sikkim,5547,4953,6
9/06/2020,Sikkim,5815,5508,12
10/06/2020,Sikkim,6161,5850,12
11/06/2020,Sikkim,6692,6063,12
12/06/2020,Sikkim,5157,4830,26
13/06/2020,Sikkim,5377,5029,62
14/06/2020,Sikkim,5664,5177,67
15/06/2020,Sikkim,5762,5521,68
16/06/2020,Sikkim,6192,5715,68
17/06/2020,Sikkim,6349,6004,70
3/04/2020,Tamil Nadu,3684,2789,411
8/04/2020,Tamil Nadu,5305,4414,690
9/04/2020,Tamil Nadu,7267,5824,834
10/04/2020,Tamil Nadu,8410,6838,911
11/04/2020,Tamil Nadu,9842,7779,969
12/04/2020,Tamil Nadu,10655,,1075
13/04/2020,Tamil Nadu,12746,,1173
14/04/2020,Tamil Nadu,19255,13234,1204
15/04/2020,Tamil Nadu,21994,15210,1242
16/04/2020,Tamil Nadu,26005,18743,1267
17/04/2020,Tamil Nadu,29673,21628,1323
18/04/2020,Tamil Nadu,35036,27192,1372
19/04/2020,Tamil Nadu,40876,31853,1477
20/04/2020,Tamil Nadu,46985,38082,1520
21/04/2020,Tamil Nadu,53045,43582,1596
22/04/2020,Tamil Nadu,59023,49506,1629
23/04/2020,Tamil Nadu,65977,56836,1683
24/04/2020,Tamil Nadu,72403,62596,1755
25/04/2020,Tamil Nadu,80110,69390,1821
26/04/2020,Tamil Nadu,87605,77133,1885
27/04/2020,Tamil Nadu,94781,83021,1937
28/04/2020,Tamil Nadu,101874,97908,2058
29/04/2020,Tamil Nadu,109961,105864,2162
30/04/2020,Tamil Nadu,119748,115761,2323
1/05/2020,Tamil Nadu,129363,124852,2526
2/05/2020,Tamil Nadu,139490,135698,2757
3/05/2020,Tamil Nadu,150107,145520,3023
4/05/2020,Tamil Nadu,162970,158558,3550
5/05/2020,Tamil Nadu,174828,170174,4058
6/05/2020,Tamil Nadu,188241,182541,4829
7/05/2020,Tamil Nadu,202436,195831,5409
8/05/2020,Tamil Nadu,216416,209495,6009
9/05/2020,Tamil Nadu,229670,222576,6535
10/05/2020,Tamil Nadu,243037,235157,7204
11/05/2020,Tamil Nadu,254899,245562,8002
12/05/2020,Tamil Nadu,266687,256720,8718
13/05/2020,Tamil Nadu,279467,269758,9227
14/05/2020,Tamil Nadu,291432,281001,9674
15/05/2020,Tamil Nadu,303104,292045,10108
16/05/2020,Tamil Nadu,313639,302523,10585
17/05/2020,Tamil Nadu,326720,315019,11224
18/05/2020,Tamil Nadu,337841,325546,11760
19/05/2020,Tamil Nadu,348174,334839,12448
20/05/2020,Tamil Nadu,360068,346311,13191
21/05/2020,Tamil Nadu,372532,357898,13967
22/05/2020,Tamil Nadu,385185,369929,14735
23/05/2020,Tamil Nadu,397340,381216,15512
24/05/2020,Tamil Nadu,409615,392690,16277
25/05/2020,Tamil Nadu,421450,403762,17082
26/05/2020,Tamil Nadu,431739,413455,17728
27/05/2020,Tamil Nadu,442970,423775,18545
28/05/2020,Tamil Nadu,455216,435279,19372
29/05/2020,Tamil Nadu,466550,445668,20246
30/05/2020,Tamil Nadu,479155,457405,21184
31/05/2020,Tamil Nadu,491962,468940,22333
1/06/2020,Tamil Nadu,503339,479208,23495
2/06/2020,Tamil Nadu,514433,489258,24586
3/06/2020,Tamil Nadu,528534,502173,25872
4/06/2020,Tamil Nadu,544981,517137,27256
5/06/2020,Tamil Nadu,560673,535254,28694
6/06/2020,Tamil Nadu,576695,545896,30152
7/06/2020,Tamil Nadu,592970,560890,31667
8/06/2020,Tamil Nadu,607952,574209,33229
9/06/2020,Tamil Nadu,621171,585678,34914
10/06/2020,Tamil Nadu,638846,601363,36841
11/06/2020,Tamil Nadu,655675,616395,38716
12/06/2020,Tamil Nadu,673906,632656,40698
13/06/2020,Tamil Nadu,691817,648545,42687
14/06/2020,Tamil Nadu,710599,665401,44661
15/06/2020,Tamil Nadu,729002,681961,46504
16/06/2020,Tamil Nadu,748244,699645,48019
17/06/2020,Tamil Nadu,773707,722830,50193
18/06/2020,Tamil Nadu,800443,747428,52334
19/04/2020,Telangana,14962,14104,858
28/04/2020,Telangana,19063,,1009
29/04/2020,Telangana,19278,,1016
16/05/2020,Telangana,23388,,1551
16/06/2020,Telangana,44431,39025,5406
17/06/2020,Telangana,45911,40236,5675
11/04/2020,Tripura,337,335,2
15/04/2020,Tripura,738,,2
16/04/2020,Tripura,762,760,2
21/04/2020,Tripura,2604,2602,2
22/04/2020,Tripura,3215,3123,2
1/05/2020,Tripura,4828,4825,3
2/05/2020,Tripura,4955,4950,5
3/05/2020,Tripura,5162,5157,5
4/05/2020,Tripura,5394,5377,17
5/05/2020,Tripura,5850,5820,30
6/05/2020,Tripura,6228,6185,43
7/05/2020,Tripura,6917,6828,89
8/05/2020,Tripura,7448,7359,89
9/05/2020,Tripura,8340,8221,119
10/05/2020,Tripura,9091,8955,136
11/05/2020,Tripura,9596,9442,154
12/05/2020,Tripura,10344,10189,155
13/05/2020,Tripura,11146,10991,155
14/05/2020,Tripura,11804,11648,156
15/05/2020,Tripura,12561,12405,156
16/05/2020,Tripura,13178,13011,167
17/05/2020,Tripura,13750,13583,167
18/05/2020,Tripura,14286,14119,167
19/05/2020,Tripura,15083,14914,169
20/05/2020,Tripura,15822,15694,173
21/05/2020,Tripura,16873,16610,173
22/05/2020,Tripura,17721,17546,175
23/05/2020,Tripura,18737,18546,191
24/05/2020,Tripura,19278,19537,191
25/05/2020,Tripura,20871,20637,198
26/05/2020,Tripura,22049,21840,209
27/05/2020,Tripura,23264,23032,232
28/05/2020,Tripura,24126,23884,242
29/05/2020,Tripura,25403,25159,244
30/05/2020,Tripura,26376,26105,271
31/05/2020,Tripura,27475,27159,316
1/06/2020,Tripura,28360,27937,423
2/06/2020,Tripura,29066,28595,471
3/06/2020,Tripura,30481,29859,622
4/06/2020,Tripura,31138,30492,646
5/06/2020,Tripura,32300,31606,694
6/06/2020,Tripura,33331,32582,749
7/06/2020,Tripura,35263,34461,802
8/06/2020,Tripura,37453,36613,840
9/06/2020,Tripura,38572,37706,866
10/06/2020,Tripura,40027,39130,897
11/06/2020,Tripura,41389,40474,915
12/06/2020,Tripura,40837,39877,960
13/06/2020,Tripura,43972,42930,1042
14/06/2020,Tripura,46015,44940,1075
15/06/2020,Tripura,47683,46599,1084
16/06/2020,Tripura,49208,48118,1090
17/06/2020,Tripura,50268,49135,1133
18/06/2020,Tripura,51495,50341,1154
5/04/2020,Uttar Pradesh,5255,4796,278
5/04/2020,Uttar Pradesh,5255,4796,278
9/04/2020,Uttar Pradesh,8402,7898,410
10/04/2020,Uttar Pradesh,9332,8798,433
11/04/2020,Uttar Pradesh,10595,10012,452
12/04/2020,Uttar Pradesh,11855,11250,483
13/04/2020,Uttar Pradesh,13287,12542,558
14/04/2020,Uttar Pradesh,15914,15134,660
15/04/2020,Uttar Pradesh,19506,18595,727
16/04/2020,Uttar Pradesh,21384,20374,805
17/04/2020,Uttar Pradesh,24643,23648,849
18/04/2020,Uttar Pradesh,28484,27262,974
19/04/2020,Uttar Pradesh,31767,,1100
20/04/2020,Uttar Pradesh,34326,32874,1184
21/04/2020,Uttar Pradesh,37933,36378,1337
22/04/2020,Uttar Pradesh,42192,40263,1449
23/04/2020,Uttar Pradesh,45483,43495,1510
24/04/2020,Uttar Pradesh,53166,51161,1621
25/04/2020,Uttar Pradesh,56851,54216,1793
26/04/2020,Uttar Pradesh,61799,58492,1873
27/04/2020,Uttar Pradesh,67145,64139,1896
28/04/2020,Uttar Pradesh,70307,67266,2053
29/04/2020,Uttar Pradesh,73716,70436,2134
30/04/2020,Uttar Pradesh,78013,74864,2211
1/05/2020,Uttar Pradesh,82459,79091,2328
2/05/2020,Uttar Pradesh,85729,82356,2487
3/05/2020,Uttar Pradesh,95841,91828,2645
4/05/2020,Uttar Pradesh,98300,94682,2766
5/05/2020,Uttar Pradesh,105234,101389,2880
6/05/2020,Uttar Pradesh,109888,106043,2998
7/05/2020,Uttar Pradesh,113670,109628,3071
8/05/2020,Uttar Pradesh,119688,115646,3214
9/05/2020,Uttar Pradesh,124791,120764,3373
10/05/2020,Uttar Pradesh,129955,125696,3467
11/05/2020,Uttar Pradesh,135760,131293,3573
12/05/2020,Uttar Pradesh,140166,135754,3664
13/05/2020,Uttar Pradesh,145637,141068,3578
14/05/2020,Uttar Pradesh,153139,147755,3902
15/05/2020,Uttar Pradesh,159282,153588,4057
16/05/2020,Uttar Pradesh,163105,157001,4258
17/05/2020,Uttar Pradesh,172219,165832,4464
18/05/2020,Uttar Pradesh,176479,170132,4605
19/05/2020,Uttar Pradesh,182184,175412,4926
20/05/2020,Uttar Pradesh,191164,184209,5175
21/05/2020,Uttar Pradesh,206811,199469,5515
22/05/2020,Uttar Pradesh,214060,207079,5735
23/05/2020,Uttar Pradesh,217867,210864,6017
24/05/2020,Uttar Pradesh,229621,222341,6268
25/05/2020,Uttar Pradesh,235622,228173,6497
26/05/2020,Uttar Pradesh,240588,232290,6724
27/05/2020,Uttar Pradesh,240588,239592,6991
28/05/2020,Uttar Pradesh,256267,247747,7170
29/05/2020,Uttar Pradesh,270920,261911,7445
30/05/2020,Uttar Pradesh,279288,270160,7701
31/05/2020,Uttar Pradesh,289892,279569,8075
1/06/2020,Uttar Pradesh,297903,287806,8361
2/06/2020,Uttar Pradesh,307621,296705,8729
3/06/2020,Uttar Pradesh,317780,306672,8870
4/06/2020,Uttar Pradesh,330663,318562,9237
5/06/2020,Uttar Pradesh,344717,332126,9733
6/06/2020,Uttar Pradesh,355085,342360,10103
7/06/2020,Uttar Pradesh,360258,346684,10536
8/06/2020,Uttar Pradesh,380723,366630,10947
9/06/2020,Uttar Pradesh,391286,377667,11335
10/06/2020,Uttar Pradesh,404637,390841,11610
11/06/2020,Uttar Pradesh,420669,405442,12088
12/06/2020,Uttar Pradesh,435601,421499,12619
13/06/2020,Uttar Pradesh,449616,433754,13118
14/06/2020,Uttar Pradesh,467702,442598,13615
15/06/2020,Uttar Pradesh,466081,,14091
16/06/2020,Uttar Pradesh,480047,,14598
17/06/2020,Uttar Pradesh,496206,,15181
18/06/2020,Uttar Pradesh,515280,,15785
2/04/2020,Uttarakhand,678,554,7
7/04/2020,Uttarakhand,1289,1092,32
9/04/2020,Uttarakhand,1531,1235,35
10/04/2020,Uttarakhand,1688,1320,35
11/04/2020,Uttarakhand,1705,1340,35
12/04/2020,Uttarakhand,1820,1452,35
13/04/2020,Uttarakhand,1998,1665,35
14/04/2020,Uttarakhand,2174,1838,35
15/04/2020,Uttarakhand,2413,2022,37
16/04/2020,Uttarakhand,2593,2210,37
17/04/2020,Uttarakhand,2831,2420,40
18/04/2020,Uttarakhand,3158,2710,42
19/04/2020,Uttarakhand,3344,3046,44
20/04/2020,Uttarakhand,3677,3228,46
21/04/2020,Uttarakhand,4061,3445,46
22/04/2020,Uttarakhand,4275,3664,46
23/04/2020,Uttarakhand,4473,3879,47
24/04/2020,Uttarakhand,4767,4239,48
25/04/2020,Uttarakhand,5194,4423,48
26/04/2020,Uttarakhand,5277,4675,50
27/04/2020,Uttarakhand,5463,4912,51
28/04/2020,Uttarakhand,5739,5212,52
29/04/2020,Uttarakhand,6046,5547,54
30/04/2020,Uttarakhand,6565,6100,57
1/05/2020,Uttarakhand,7042,6533,57
2/05/2020,Uttarakhand,7369,6786,59
3/05/2020,Uttarakhand,7578,6986,60
4/05/2020,Uttarakhand,7806,7134,60
5/05/2020,Uttarakhand,8060,7357,61
6/05/2020,Uttarakhand,8346,7698,61
7/05/2020,Uttarakhand,8783,8138,61
8/05/2020,Uttarakhand,9116,8485,61
9/05/2020,Uttarakhand,9386,8659,67
10/05/2020,Uttarakhand,9668,8990,68
11/05/2020,Uttarakhand,9915,9151,68
12/05/2020,Uttarakhand,10471,9390,68
13/05/2020,Uttarakhand,10792,9750,70
14/05/2020,Uttarakhand,11294,10157,75
15/05/2020,Uttarakhand,12045,10523,79
16/05/2020,Uttarakhand,12597,10990,88
17/05/2020,Uttarakhand,13212,11316,92
18/05/2020,Uttarakhand,13870,11812,93
19/05/2020,Uttarakhand,14691,12242,104
20/05/2020,Uttarakhand,15503,12945,120
21/05/2020,Uttarakhand,16528,13808,132
22/05/2020,Uttarakhand,18008,14960,151
23/05/2020,Uttarakhand,19248,15757,173
24/05/2020,Uttarakhand,20969,16640,293
25/05/2020,Uttarakhand,22117,17315,332
26/05/2020,Uttarakhand,23076,18193,400
27/05/2020,Uttarakhand,23975,18645,438
28/05/2020,Uttarakhand,25380,19702,493
29/05/2020,Uttarakhand,26951,20636,602
30/05/2020,Uttarakhand,28433,21512,727
31/05/2020,Uttarakhand,30438,22546,802
1/06/2020,Uttarakhand,31703,23400,929
2/06/2020,Uttarakhand,33081,24262,999
3/06/2020,Uttarakhand,34413,25385,1066
4/06/2020,Uttarakhand,35117,26093,1145
5/06/2020,Uttarakhand,35967,27184,1215
6/06/2020,Uttarakhand,36638,28172,1245
7/06/2020,Uttarakhand,37166,28945,1341
8/06/2020,Uttarakhand,39133,30620,1380
9/06/2020,Uttarakhand,40264,31945,1488
10/06/2020,Uttarakhand,40872,33369,1560
11/06/2020,Uttarakhand,41888,34604,1637
12/06/2020,Uttarakhand,42783,35670,1692
13/06/2020,Uttarakhand,44040,36834,1759
14/06/2020,Uttarakhand,45344,37554,1816
15/06/2020,Uttarakhand,46573,38643,1836
16/06/2020,Uttarakhand,47870,39552,1912
17/06/2020,Uttarakhand,49462,40434,1985
18/06/2020,Uttarakhand,50796,42008,2079
1/04/2020,West Bengal,659,568,37
4/04/2020,West Bengal,1042,,
6/04/2020,West Bengal,1301,,
7/04/2020,West Bengal,1487,,
9/04/2020,West Bengal,1889,,
10/04/2020,West Bengal,2095,,
11/04/2020,West Bengal,2286,,126
12/04/2020,West Bengal,2523,,134
13/04/2020,West Bengal,2793,,152
14/04/2020,West Bengal,3081,,190
15/04/2020,West Bengal,3470,,213
16/04/2020,West Bengal,3811,,231
17/04/2020,West Bengal,4212,,255
18/04/2020,West Bengal,4630,,287
19/04/2020,West Bengal,5045,,310
20/04/2020,West Bengal,5469,,339
21/04/2020,West Bengal,6182,,392
22/04/2020,West Bengal,7037,,423
23/04/2020,West Bengal,7990,,456
24/04/2020,West Bengal,8933,,514
25/04/2020,West Bengal,9880,,571
26/04/2020,West Bengal,10893,,611
27/04/2020,West Bengal,12043,,649
28/04/2020,West Bengal,13223,,697
29/04/2020,West Bengal,14620,,725
30/04/2020,West Bengal,16525,,758
1/05/2020,West Bengal,18566,,
2/05/2020,West Bengal,20976,,795
3/05/2020,West Bengal,22915,,922
4/05/2020,West Bengal,25116,,1259
5/05/2020,West Bengal,27571,,1344
6/05/2020,West Bengal,30141,,1456
7/05/2020,West Bengal,32752,,1548
8/05/2020,West Bengal,35767,,1678
9/05/2020,West Bengal,39368,,1786
10/05/2020,West Bengal,43414,,1939
11/05/2020,West Bengal,47615,,2063
12/05/2020,West Bengal,52622,,2173
13/05/2020,West Bengal,57632,,2290
14/05/2020,West Bengal,62837,,2377
15/05/2020,West Bengal,69543,,2461
16/05/2020,West Bengal,77288,,2576
17/05/2020,West Bengal,85956,,2677
18/05/2020,West Bengal,93570,,2825
19/05/2020,West Bengal,102282,,2961
20/05/2020,West Bengal,111002,,3103
21/05/2020,West Bengal,115244,,3197
22/05/2020,West Bengal,120599,,3332
23/05/2020,West Bengal,129608,,3459
24/05/2020,West Bengal,138824,,3667
25/05/2020,West Bengal,148049,,3816
26/05/2020,West Bengal,157277,,4009
27/05/2020,West Bengal,166513,,4192
28/05/2020,West Bengal,175769,,4536
29/05/2020,West Bengal,185051,,4813
30/05/2020,West Bengal,194397,,5130
31/05/2020,West Bengal,203751,,5501
1/06/2020,West Bengal,213231,,5772
2/06/2020,West Bengal,222726,,6168
3/06/2020,West Bengal,232225,,6508
4/06/2020,West Bengal,241831,,6876
5/06/2020,West Bengal,251517,,7303
6/06/2020,West Bengal,261288,,7738
7/06/2020,West Bengal,271074,,8187
8/06/2020,West Bengal,280098,,8613
9/06/2020,West Bengal,287900,,8985
10/06/2020,West Bengal,297419,,9328
11/06/2020,West Bengal,306941,,9768
12/06/2020,West Bengal,315699,,10244
13/06/2020,West Bengal,324707,,10698
14/06/2020,West Bengal,333733,,11087
15/06/2020,West Bengal,343242,,11494
16/06/2020,West Bengal,351754,,11909
17/06/2020,West Bengal,360976,,12300
18/06/2020,West Bengal,370291,,12735
